Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
5521,CA-2017-117667,12/04/2017,12/09/2017,Standard Class,MS-17980,Michael Stewart,Corporate,United States,Philadelphia,Pennsylvania,11.7342,East,OFF-PA-10002709,Office Supplies,Paper,Xerox 1956,23.92,5,0.2,8.671
2086,CA-2016-140501,6/23/2016,6/28/2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,New York City,New York,10.0,East,OFF-LA-10000248,Office Supplies,Labels,Avery 52,18.45,5,0.0,8.6715
2622,CA-2017-115931,12/22/2017,12/26/2017,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Carlsbad,New Mexico,10.0,West,OFF-LA-10001404,Office Supplies,Labels,Avery 517,18.45,5,0.0,8.6715
8408,CA-2017-140480,07/08/2017,07/12/2017,Standard Class,HE-14800,Harold Engle,Corporate,United States,Newark,Delaware,14.0,East,OFF-AR-10001419,Office Supplies,Art,Newell 325,28.91,7,0.0,8.673
2019,CA-2015-113110,3/19/2015,3/23/2015,Standard Class,BK-11260,Berenike Kampe,Consumer,United States,San Bernardino,California,8.0,West,OFF-SU-10001165,Office Supplies,Supplies,Acme Elite Stainless Steel Scissors,33.36,4,0.0,8.6736
317,CA-2014-164259,12/28/2014,12/30/2014,First Class,SP-20860,Sung Pak,Corporate,United States,Philadelphia,Pennsylvania,9.73488,East,OFF-AR-10003373,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",99.136,4,0.2,8.6744
1600,CA-2017-158876,11/19/2017,11/21/2017,Second Class,AB-10150,Aimee Bixby,Consumer,United States,Carrollton,Texas,9.73488,Central,OFF-AR-10003373,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",99.136,4,0.2,8.6744
9048,CA-2017-137463,12/16/2017,12/20/2017,Second Class,KM-16225,Kalyca Meade,Corporate,United States,Sunnyvale,California,10.0,West,OFF-AR-10001988,Office Supplies,Art,Bulldog Table or Wall-Mount Pencil Sharpener,29.95,5,0.0,8.6855
9581,CA-2017-152975,9/14/2017,9/16/2017,First Class,RB-19705,Roger Barcio,Home Office,United States,New York City,New York,10.0,East,OFF-AR-10001988,Office Supplies,Art,Bulldog Table or Wall-Mount Pencil Sharpener,29.95,5,0.0,8.6855
1141,CA-2016-152170,11/12/2016,11/15/2016,Second Class,FH-14275,Frank Hawley,Corporate,United States,La Porte,Indiana,4.0,Central,OFF-BI-10002072,Office Supplies,Binders,Cardinal Slant-D Ring Binders,17.38,2,0.0,8.69
9952,CA-2017-121559,06/01/2017,06/03/2017,Second Class,HW-14935,Helen Wasserman,Corporate,United States,Indianapolis,Indiana,4.0,Central,OFF-BI-10002072,Office Supplies,Binders,Cardinal Slant-D Ring Binders,17.38,2,0.0,8.69
280,CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495,Andrew Gjertsen,Corporate,United States,Philadelphia,Pennsylvania,7.7388,East,OFF-LA-10002043,Office Supplies,Labels,Avery 489,24.84,3,0.2,8.694
4142,CA-2016-136287,6/13/2016,6/17/2016,Standard Class,SS-20590,Sonia Sunley,Consumer,United States,Wichita,Kansas,6.0,Central,OFF-LA-10003148,Office Supplies,Labels,Avery 51,18.9,3,0.0,8.694
5300,CA-2016-106656,9/23/2016,9/26/2016,First Class,DV-13045,Darrin Van Huff,Corporate,United States,San Diego,California,6.0,West,OFF-LA-10003148,Office Supplies,Labels,Avery 51,18.9,3,0.0,8.694
5798,CA-2014-124856,9/29/2014,10/03/2014,Second Class,LD-17005,Lisa DeCherney,Consumer,United States,New York City,New York,6.0,East,OFF-LA-10000121,Office Supplies,Labels,Avery 48,18.9,3,0.0,8.694
6927,CA-2016-140046,7/28/2016,08/03/2016,Standard Class,KM-16660,Khloe Miller,Consumer,United States,Los Angeles,California,6.0,West,OFF-LA-10000305,Office Supplies,Labels,Avery 495,18.9,3,0.0,8.694
7442,CA-2015-120446,11/16/2015,11/18/2015,First Class,JG-15805,John Grady,Corporate,United States,San Diego,California,6.0,West,OFF-LA-10003148,Office Supplies,Labels,Avery 51,18.9,3,0.0,8.694
8805,CA-2014-157644,12/31/2014,01/01/2015,First Class,AH-10030,Aaron Hawkins,Corporate,United States,New York City,New York,6.0,East,OFF-LA-10003148,Office Supplies,Labels,Avery 51,18.9,3,0.0,8.694
8545,CA-2016-119074,3/27/2016,3/31/2016,Standard Class,DS-13180,David Smith,Corporate,United States,Columbus,Georgia,2.0,South,FUR-FU-10004053,Furniture,Furnishings,DAX Two-Tone Silver Metal Document Frame,20.24,1,0.0,8.7032
4575,CA-2016-139395,12/12/2016,12/18/2016,Standard Class,MG-17650,Matthew Grinstein,Home Office,United States,Jackson,Michigan,8.0,Central,FUR-FU-10003724,Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,33.48,4,0.0,8.7048
